ID_1,SR_ssp585,PD_ssp585,Pdses_ssp585,Res_pd_ssp585,PE_ssp585,EDGE_ssp585
10768,5,894.868795,-0.177734532,282.6232606,0.128245207,1.90811665
10769,5,968.477746,0.453093417,356.2322116,0.094999929,1.796273803
10770,10,1386.766307,0.240646724,404.3128283,0.146460946,1.863178121
10771,2,135.641392,-1.318893653,-254.4793759,0.020972324,2.163331173
10773,6,918.55751,-1.213721664,232.2703867,0.08859376,1.948887631
10774,3,776.922814,0.534722406,312.7604573,0.059991542,1.721313808
10775,8,363.159817,-8.627300386,-471.210484,0.046066552,1.447269664
10776,39,3109.299445,0.744320163,-20.3601104,0.995231151,1.801092905
10777,39,3127.657955,0.626144321,-2.001600396,0.672878685,1.802659686
10778,1,3.119954,-0.817369383,-312.959225,0.016568475,2.175074856
10779,9,442.823803,-8.985500455,-465.5880868,0.054802939,1.525237007
10780,2,135.641392,-1.318893653,-254.4793759,0.020972324,2.163331173
10782,44,3475.518442,1.267023809,-24.34905765,0.945956272,1.776203988
10783,64,4580.031612,2.652205549,-400.6676647,2.957838679,1.822467991
10784,11,476.963787,-9.558975467,-579.5312805,0.063298163,1.640345715
10785,3,776.922814,0.681973616,312.7604573,0.060175668,1.72914293
10786,5,850.736815,-0.94199621,238.4912806,0.075973681,1.8943885
10787,36,2708.877623,-1.037858972,-198.6571658,0.498315886,1.730689469
10788,30,2201.13579,-2.106247124,-262.1494657,0.500065631,1.667135986
10790,27,2494.069204,0.449621108,252.9087148,0.364986619,1.814182658
10791,3,292.443095,-1.872598324,-171.7192617,0.032929877,1.691606371
10793,3,295.341094,-1.492240648,-168.8212627,0.0322006,1.676358353
10794,8,1089.857618,-0.855212652,255.487317,0.159455017,1.675481158
10795,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10796,1,1.424012,-0.671597605,-314.655167,0.0189169,1.446167853
10797,2,650.100056,0.996774891,259.9792881,0.043504306,1.928965909
10798,42,3280.51042,0.727005814,-71.27390195,0.928422993,1.802003415
10799,8,911.626698,-2.511387226,77.25639701,0.214724159,1.744939841
10800,3,292.443095,-2.039422872,-171.7192617,0.032438685,1.683950197
10801,1,1.424012,-0.671597605,-314.655167,0.0189169,1.446167853
10802,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10803,1,1.424012,-0.671597605,-314.655167,0.0189169,1.446167853
10804,1,1.782218,-0.772922246,-314.296961,0.018609834,1.446686698
10805,30,2272.117579,-1.917226505,-191.1676767,0.330601778,1.734044248
10806,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10807,2,650.100056,0.996774891,259.9792881,0.043504306,1.928965909
10808,5,968.477746,0.452532344,356.2322116,0.097693106,2.071745984
10809,5,883.541089,-0.339046118,271.2955546,0.071122855,1.758518537
